TeacherID,Department,NumClasses,FinalizationDate,Deadline,WeightErrors,NotificationComplete,ReworkIncidents,AvgTimePerClass_min
T001,Math,4,10/29/2025,10/31/2025,0,1,0,7.5
T002,Math,5,10/30/2025,10/31/2025,0,1,0,6.8
T003,Math,3,11/2/2025,10/31/2025,1,0,1,11.2
T004,Math,4,10/28/2025,10/31/2025,0,1,0,8.1
T005,Science,5,10/31/2025,10/31/2025,1,1,1,9.4
T006,Science,4,10/30/2025,10/31/2025,0,0,0,7.2
T007,Science,3,11/3/2025,10/31/2025,0,1,2,12.5
T008,Science,4,10/29/2025,10/31/2025,1,1,0,8
T009,English,5,10/31/2025,10/31/2025,0,1,0,6.5
T010,English,4,10/28/2025,10/31/2025,0,0,1,7.8
T011,English,3,10/30/2025,10/31/2025,1,1,0,9.1
T012,English,4,11/1/2025,10/31/2025,0,0,0,10.3
T013,History,3,10/29/2025,10/31/2025,0,1,0,7
T014,History,4,10/30/2025,10/31/2025,0,1,1,8.6
T015,History,5,10/31/2025,10/31/2025,0,0,0,7.3
T016,Electives,2,10/27/2025,10/31/2025,0,1,0,5.5
T017,Electives,3,10/29/2025,10/31/2025,1,0,1,11.8
T018,Electives,2,10/30/2025,10/31/2025,0,1,0,6.2
